,split_size,model,accuracy,precision,recall,f1
0,0.3,boosting_svm_linear,0.9333333333333333,0.9390884618954793,0.9333333333333333,0.9328558924166468
1,0.3,boosting_svm_poly,0.9047619047619048,0.9183120402632597,0.9047619047619048,0.9031071888214746
2,0.3,boosting_svm_rbf,0.8476190476190476,0.882764831701002,0.8476190476190476,0.8396190476190476
3,0.3,boosting_svm_sigmoid,0.3142857142857143,0.09877551020408164,0.3142857142857143,0.15031055900621118
4,0.4,boosting_svm_linear,0.9444444444444444,0.9471618357487923,0.9444444444444444,0.9441098843909148
5,0.4,boosting_svm_poly,0.9111111111111111,0.9151515151515153,0.9111111111111111,0.9102747909199522
6,0.4,boosting_svm_rbf,0.9333333333333333,0.9380471380471381,0.9333333333333333,0.9327060931899641
7,0.4,boosting_svm_sigmoid,0.08888888888888889,0.07151817716333846,0.08888888888888889,0.07622718412192096
8,0.5,boosting_svm_linear,0.9733333333333334,0.9754666666666666,0.9733333333333334,0.9732828282828283
9,0.5,boosting_svm_poly,0.9466666666666667,0.9545679012345679,0.9466666666666667,0.9462603174603175
10,0.5,boosting_svm_rbf,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334
11,0.5,boosting_svm_sigmoid,0.30666666666666664,0.09404444444444443,0.30666666666666664,0.1439455782312925
12,0.6,boosting_svm_linear,1.0,1.0,1.0,1.0
13,0.6,boosting_svm_poly,1.0,1.0,1.0,1.0
14,0.6,boosting_svm_rbf,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
15,0.6,boosting_svm_sigmoid,0.2,0.06666666666666667,0.2,0.1
16,0.7,boosting_svm_linear,1.0,1.0,1.0,1.0
17,0.7,boosting_svm_poly,1.0,1.0,1.0,1.0
18,0.7,boosting_svm_rbf,1.0,1.0,1.0,1.0
19,0.7,boosting_svm_sigmoid,0.13333333333333333,0.07916666666666666,0.13333333333333333,0.09934640522875818
20,0.8,boosting_svm_linear,1.0,1.0,1.0,1.0
21,0.8,boosting_svm_poly,0.9666666666666667,0.9700000000000001,0.9666666666666667,0.966750208855472
22,0.8,boosting_svm_rbf,0.9666666666666667,0.9700000000000001,0.9666666666666667,0.966750208855472
23,0.8,boosting_svm_sigmoid,0.3,0.09,0.3,0.13846153846153844
